S.No,Domain,Category,Region
1,1000oaksindia.com,Alcohol & Tobacco,Global
2,100x.vc,Private Equity & Venture Capital,Global
3,100xengineers.com,AI & Data Science,India
4,108bespoke.com,Fashion & Apparel,India
5,10xtask.com,SaaS & B2B,India
6,123tws.com,Web Hosting & Domains,Global
7,12flags.com,Health & Wellness Services,US
8,12taste.com,Ecommerce/Retail,Global
9,1441pizzeria.com,Restaurant & Hospitality,India
10,1559ad.com,Restaurant & Hospitality,India
11,15chawalwala.com,Unknown,Global
12,15spicemart.com,Unknown,Global
13,16score.com,Gaming & Esports,Global
14,17degreesnorth.com,Unknown,Global
15,18pixels.com,Cybersecurity,India
16,1985.co.in,SaaS & B2B,India
17,199kart.com,Jewelry,India
18,1channel.co,SaaS & B2B,US
19,1clickcapital.com,FinTech,India
20,1down5up.in,Unknown,India
21,1ggold.in,Unknown,India
22,1plus1studio.com,Wedding & Events,US
23,1point1.com,Social Media & Platforms,India
24,1specialplace.com,EdTech,India
25,2050healthcare.com,Healthcare & Hospitals,India
26,20mcc.in,Home & Living,India
27,21genx.com,Fashion & Apparel,US
28,247hrm.com,HR & Recruitment,India
29,24karat.co.in,Jewelry,India
30,24x7puja.com,Unknown,Global
31,24x7retail.in,Unknown,India
32,2daygeek.com,Electronics & Tech,US
33,2hatslogic.com,Ecommerce/Retail,India
34,2ndtech.com,Classifieds & Listings,Global
35,2pointoh.in,Beauty & Personal Care,India
36,2zee.com.pk,Fashion & Apparel,Global
37,32dentalcare.org,Dental & Oral Care,India
38,32nd.com,Pharmacy & Optical,US
39,33north.in,Beauty & Personal Care,India
40,360.one,FinTech,India
41,360labs.dev,Ecommerce/Retail,India
42,360quadrants.com,Agriculture,Global
43,360sec.in,Unknown,India
44,365crm.io,Ecommerce/Retail,India
45,365medicalasia.com,Health & Wellness Services,Global
46,3am.co.in,Unknown,India
47,3dbazaar.in,Unknown,India
48,3dicons.com,Social Media & Platforms,Global
49,3dindia.in,Unknown,India
50,3dmeasureup.ai,Unknown,Global
51,3dproductsindia.in,Home & Living,India
52,3dsculpture.in,Art & Collectibles,India
53,3dskillindia.in,Manufacturing,India
54,3i-infotech.com,Government & Public Sector,India
55,3nex.co.in,Electronics & Tech,India
56,3one4capital.com,News & Media,US
